id_transacao,id_cliente,data_transacao,valor,categoria,tipo_dispositivo
33c92577-c697-4930-9a4c-254e4f895bec,c4fa7f4c-918d-4d39-abfa-c76db550c478,2026-01-26 09:33:03,3713.2,Cartão,Web
ef9a56ca-4c28-454d-b655-bb1b5cf9c4cf,c4fa7f4c-918d-4d39-abfa-c76db550c478,2025-12-29 15:16:25,1409.66,Cartão,Android
d4715e68-010b-49d1-8f40-32e35d3a620e,c4fa7f4c-918d-4d39-abfa-c76db550c478,2025-08-06 10:10:30,2833.3,Cartão,Web
1b1ca19f-0025-4a27-a8ea-0a7097ce227f,c4fa7f4c-918d-4d39-abfa-c76db550c478,2025-05-31 08:04:11,3336.59,Saque,Web
0bc1eb7f-a74a-4869-a576-b95841d54ce3,c4fa7f4c-918d-4d39-abfa-c76db550c478,2025-04-17 22:16:57,2573.26,PIX,Android
94db8839-98a1-4d11-8e0f-0339281d17a5,8bd8278a-7cdc-40c8-811d-8374e214c130,2025-05-30 11:31:08,2230.09,PIX,Web
ebdf4479-0764-43e3-b0c4-20a3c72a9f2b,8bd8278a-7cdc-40c8-811d-8374e214c130,2025-08-13 07:18:45,3150.81,Saque,Web
2564b83b-4d65-4f9b-93fd-c96ed3ee9ad0,8bd8278a-7cdc-40c8-811d-8374e214c130,2025-12-15 19:25:43,4088.5,Cartão,Web
575c6217-fe88-4993-b967-a7e717edd681,8bd8278a-7cdc-40c8-811d-8374e214c130,2026-01-20 11:29:16,4979.74,Cartão,iOS
cf17f1ef-b80c-413a-99a1-3e292f1e5f0d,8bd8278a-7cdc-40c8-811d-8374e214c130,2025-08-30 09:06:51,562.87,Saque,iOS
329196ae-76a9-460a-aa45-7d4ee544489e,8bd8278a-7cdc-40c8-811d-8374e214c130,2026-01-13 21:14:17,1217.41,Saque,Android
d2d72f43-4e9f-4eda-8fad-acc483208594,8bd8278a-7cdc-40c8-811d-8374e214c130,2026-01-08 03:21:56,2500.44,Saque,Web
f0a26a21-c890-43c5-b366-ec560cf9a4f8,8bd8278a-7cdc-40c8-811d-8374e214c130,2025-05-23 22:44:13,3775.43,Saque,Web
7c524a3e-b787-4523-a97b-3a1cc44b54b0,8bd8278a-7cdc-40c8-811d-8374e214c130,2026-02-03 10:17:35,4006.82,Saque,Android
9d29336d-68ad-4b69-87f1-fb92ff8487c8,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-05-28 16:27:23,1098.22,Cartão,Android
51c997c0-9849-42d9-a2ce-67229fecd802,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-08-27 22:01:44,4390.56,Saque,Web
c1651f11-e84f-4b7c-995c-49972b591676,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-06-07 18:08:05,2544.7,Saque,Web
e88a9a56-8052-4197-ba40-8d00aef0f1bd,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-05-20 03:09:39,4885.71,Cartão,Web
2b72bc6a-272c-4070-a553-4f0a7f43b25a,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-06-27 01:30:41,1200.26,Saque,iOS
ce438dcb-f462-4eaf-93bc-a030c066e954,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-12-07 06:56:21,87.76,PIX,Android
e4b74810-70c0-468e-a960-e208a3fa3d6e,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-05-27 19:55:23,1642.68,Saque,iOS
ad2b48d3-376b-4dc3-bb54-847bebd500c2,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-05-28 09:42:13,3642.41,Cartão,Android
21deaa6e-49f8-4b11-8237-9b2b0c35cada,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-11-14 20:15:00,4340.81,Saque,Android
9e033f8f-bd69-4ffc-a723-3d47dc5959d9,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-03-17 05:00:59,1217.23,Saque,iOS
70358b85-ff16-4648-bbf7-41eec991e327,6c1cc520-4a82-4579-be53-edcf3099bcf8,2026-02-02 04:44:27,1398.49,Saque,iOS
cbd74571-5639-4336-8cf1-b381a93683e8,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-12-31 11:12:25,222.09,Saque,Android
5544c5b2-3f26-45b1-b33e-06442c8aad3a,6c1cc520-4a82-4579-be53-edcf3099bcf8,2025-10-29 14:14:27,2269.51,Saque,iOS
6056f916-7d2c-43c2-9a44-3c7741c2360b,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-06-01 22:58:44,2271.31,Cartão,Web
d731c1ad-677c-42e8-b99a-2025f35764f5,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-06-18 09:18:55,1383.0,Saque,Web
e6b420cf-2c7d-4faa-b3c2-87c9332ad02a,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-07-31 22:04:24,4271.23,Saque,Web
5e812c58-c8fb-40b5-a563-ee1757958bd5,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-05-01 15:44:14,2049.78,Saque,Android
f00fb023-7454-44ce-b923-d66b633c43f6,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-09-24 17:36:06,1861.43,Saque,Web
6ccd065e-c8d8-4960-9eca-7e6ea946459f,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-08-29 03:10:14,4963.8,PIX,Android
9b5864de-26f3-4e83-974a-9ff79be6b5a2,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-08-27 05:10:41,1851.24,Cartão,Web
e8d676a0-8c15-49a6-bb79-c315208ea755,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-05-10 12:47:28,1104.92,PIX,Web
332ce7e8-50c5-4fb3-8fa7-3e5bc1d7dbd6,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-10-28 09:15:38,3180.65,Cartão,Web
67263b86-0c4e-44d7-9538-5d0a2c06d7c3,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-11-20 20:34:16,3457.01,Cartão,Web
e6656766-5095-4b3c-bf30-344fd978391e,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2026-01-22 14:01:51,1301.33,PIX,iOS
249a5da6-c85b-4fbc-a6e2-d9708e045e9e,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-03-10 16:48:11,3760.03,PIX,Android
4dd876c2-2c4a-49f4-bdc2-ed66d2726a92,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-10-20 04:35:42,4695.66,PIX,iOS
ed0b1b28-e89a-47ff-8a09-92c87f6f2fdd,ac7b79af-68ab-4743-a0bc-38d86fc2cc86,2025-02-16 15:38:59,4230.43,Cartão,Android
de28ad81-7d81-4338-9ea4-d07eb2b38f40,b134ded0-1181-4641-a398-b2ec377e31fd,2025-12-08 10:50:28,3659.5,PIX,Web
ee840fd1-ffe1-476d-80a3-d7b936772e69,b134ded0-1181-4641-a398-b2ec377e31fd,2025-03-23 04:40:46,3748.79,Cartão,Android
5c8086fb-20fd-4d2c-aee0-95942e464338,b134ded0-1181-4641-a398-b2ec377e31fd,2025-07-09 22:16:27,2829.25,Saque,Web
bcf97f05-9f6c-48e1-99c0-d9a6a1c22f5a,b134ded0-1181-4641-a398-b2ec377e31fd,2026-01-15 14:47:44,2992.25,PIX,Web
cb6972fc-ceb8-46db-a55d-657b805b329e,b134ded0-1181-4641-a398-b2ec377e31fd,2025-10-09 03:56:09,4382.02,PIX,iOS
ea9cb64f-77df-4a6c-b0fb-d44b94419bfe,b134ded0-1181-4641-a398-b2ec377e31fd,2025-02-28 12:58:04,4628.35,Cartão,Android
778b8e74-3805-456b-bc64-32528abaa774,b134ded0-1181-4641-a398-b2ec377e31fd,2025-08-30 22:54:08,4443.18,Cartão,Web
4a3b570a-129d-471d-b1a7-5aa10da9817b,b134ded0-1181-4641-a398-b2ec377e31fd,2025-08-31 17:41:40,3404.73,PIX,Android
6cf3f99e-4d6f-427b-91d6-d2dcb619d4c9,b134ded0-1181-4641-a398-b2ec377e31fd,2025-10-12 20:22:22,3054.83,PIX,Web
